refund_id,order_item_id,refund_amount_usd,refund_date
1,36320,41.04,2026-01-21
2,4815,48.52,2026-01-21
3,26422,40.41,2026-01-21
4,27099,53.59,2026-01-21
5,15887,32.85,2026-01-21
6,24464,33.46,2026-01-21
7,3798,45.63,2026-01-21
8,35244,33.02,2026-01-21
9,12757,31.16,2026-01-21
10,33680,32.35,2026-01-21
11,25426,29.62,2026-01-21
12,33252,26.96,2026-01-21
13,8289,27.97,2026-01-21
14,6813,21.52,2026-01-21
15,18324,49.10,2026-01-21
16,19624,20.17,2026-01-21
17,14637,9.46,2026-01-21
18,12371,45.02,2026-01-21
19,17440,29.65,2026-01-21
20,17578,17.42,2026-01-21
21,6924,38.54,2026-01-21
22,10451,25.17,2026-01-21
23,20095,42.44,2026-01-21
24,11215,38.54,2026-01-21
25,2466,46.32,2026-01-21
26,676,30.22,2026-01-21
27,17115,17.81,2026-01-21
28,36643,22.35,2026-01-21
29,34625,14.60,2026-01-21
30,35922,14.52,2026-01-21
31,6667,28.87,2026-01-21
32,8669,49.44,2026-01-21
33,14616,17.79,2026-01-21
34,4040,40.19,2026-01-21
35,534,37.25,2026-01-21
36,12772,41.49,2026-01-21
37,39664,44.78,2026-01-21
38,5089,30.84,2026-01-21
39,24117,35.94,2026-01-21
40,11523,20.27,2026-01-21
41,23439,37.75,2026-01-21
42,11726,56.88,2026-01-21
43,28621,15.67,2026-01-21
44,4325,16.48,2026-01-21
45,22701,17.37,2026-01-21
46,36534,39.87,2026-01-21
47,23944,45.49,2026-01-21
48,944,48.55,2026-01-21
49,15564,10.95,2026-01-21
50,5249,39.30,2026-01-21
51,1742,47.53,2026-01-21
52,9218,45.78,2026-01-21
53,1536,24.60,2026-01-21
54,29613,34.32,2026-01-21
55,6762,32.26,2026-01-21
56,2935,32.43,2026-01-21
57,10237,17.97,2026-01-21
58,35476,40.95,2026-01-21
59,35197,43.02,2026-01-21
60,36218,20.09,2026-01-21
61,2444,24.42,2026-01-21
62,25632,43.89,2026-01-21
63,6175,28.58,2026-01-21
64,3140,25.30,2026-01-21
65,33622,18.19,2026-01-21
66,2513,15.87,2026-01-21
67,12701,21.60,2026-01-21
68,7191,44.39,2026-01-21
69,26850,30.17,2026-01-21
70,21012,28.14,2026-01-21
71,23905,11.27,2026-01-21
72,30467,11.86,2026-01-21
73,25933,36.04,2026-01-21
74,11304,45.68,2026-01-21
75,23669,24.79,2026-01-21
76,22774,15.22,2026-01-21
77,37310,19.99,2026-01-21
78,4607,38.35,2026-01-21
79,35549,57.85,2026-01-21
80,22275,38.58,2026-01-21
81,13049,22.97,2026-01-21
82,30100,58.43,2026-01-21
83,31231,11.56,2026-01-21
84,5712,43.89,2026-01-21
85,38025,11.17,2026-01-21
86,21053,47.77,2026-01-21
87,31526,30.08,2026-01-21
88,28665,38.98,2026-01-21
89,20898,23.31,2026-01-21
90,8885,36.23,2026-01-21
91,18388,41.71,2026-01-21
92,10900,44.22,2026-01-21
93,16519,43.84,2026-01-21
94,6655,37.58,2026-01-21
95,2666,22.25,2026-01-21
96,32363,58.82,2026-01-21
97,14099,33.30,2026-01-21
98,31989,27.46,2026-01-21
99,19070,25.34,2026-01-21
100,3640,41.66,2026-01-21
101,38495,26.61,2026-01-21
102,26660,18.26,2026-01-21
103,24241,39.09,2026-01-21
104,21171,17.07,2026-01-21
105,4519,17.95,2026-01-21
106,26600,18.37,2026-01-21
107,26411,14.80,2026-01-21
108,37922,49.37,2026-01-21
109,14557,22.86,2026-01-21
110,15251,17.78,2026-01-21
111,16564,40.99,2026-01-21
112,19529,18.29,2026-01-21
113,10770,47.18,2026-01-21
114,11161,24.67,2026-01-21
115,23342,45.14,2026-01-21
116,1778,34.11,2026-01-21
117,14911,58.05,2026-01-21
118,34413,31.97,2026-01-21
119,5729,29.42,2026-01-21
120,17343,26.14,2026-01-21
121,16280,31.73,2026-01-21
122,35004,18.46,2026-01-21
123,14861,27.90,2026-01-21
124,849,28.39,2026-01-21
125,13446,29.93,2026-01-21
126,36677,24.40,2026-01-21
127,33992,22.93,2026-01-21
128,4026,46.05,2026-01-21
129,17739,31.49,2026-01-21
